epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.134,3.03945,3.51277,3.69019,0.26283,0.34809,0.23943,0.08755,2.2612,91.3221,2.9713,0.00332226,0.00332226,0.00332226
2,174.375,1.97897,2.06407,2.49027,0.51419,0.47006,0.43549,0.21422,1.74185,125.858,2.22443,0.00662985,0.00662985,0.00662985
3,255.515,1.67899,1.73153,2.05947,0.60439,0.54864,0.53857,0.30472,1.44518,97.6543,1.82777,0.00991167,0.00991167,0.00991167
4,336.402,1.5251,1.4964,1.82079,0.62686,0.61782,0.6185,0.36371,1.36513,83.2526,1.68862,0.00988398,0.00988398,0.00988398
5,416.986,1.43338,1.33829,1.71258,0.67398,0.66371,0.6643,0.42352,1.25489,110.301,1.56704,0.00984531,0.00984531,0.00984531
6,497.563,1.37763,1.23429,1.65459,0.71465,0.68305,0.69386,0.44555,1.24625,71.1455,1.55182,0.00980664,0.00980664,0.00980664
7,578.02,1.34638,1.1879,1.61943,0.72089,0.71116,0.71854,0.46683,1.21686,78.2077,1.52429,0.00976797,0.00976797,0.00976797
8,658.471,1.31937,1.14298,1.59162,0.71564,0.70755,0.72245,0.46923,1.19555,78.3739,1.49832,0.0097293,0.0097293,0.0097293
9,738.999,1.29859,1.12184,1.57487,0.74148,0.74287,0.74386,0.49725,1.16934,85.4419,1.46927,0.00969063,0.00969063,0.00969063
10,819.369,1.27174,1.08261,1.54971,0.71718,0.71635,0.72564,0.48688,1.16864,77.0502,1.46213,0.00965195,0.00965195,0.00965195
11,899.747,1.2632,1.07861,1.54375,0.75609,0.71908,0.75677,0.51385,1.1575,74.0442,1.45568,0.00961328,0.00961328,0.00961328
12,980.255,1.24925,1.05042,1.52957,0.74737,0.75422,0.78057,0.52597,1.13016,76.2864,1.43863,0.00957461,0.00957461,0.00957461
13,1060.6,1.22704,1.03542,1.5156,0.74888,0.77115,0.77017,0.52389,1.13546,76.7582,1.44039,0.00953594,0.00953594,0.00953594
14,1141.15,1.22257,1.02212,1.51091,0.75588,0.76911,0.77724,0.53017,1.10615,70.872,1.41777,0.00949727,0.00949727,0.00949727
